ISOCode,OriginalName,EnglishName
de-de,Deutsch (Deutschland),German (Germany)
ja-JP,日本語（日本）,Japanese (Japan)
en-CA,English (Canada),English (Canada)
en-GB,English (Great Britain),English (Great Britain)
en-IN,English (India),English (India)
en-US,English (United States),English (United States)
es-AR,Español (Argentina),Spanish (Argentina)
es-es,Español (España),Spanish (Spain)
es-US,Español (Estados Unidos),Spanish (United States)
es-mx,Español (México),Spanish (Mexico)
fr-fr,Français (France),French (France)
fr-ca,Français (Canada),French (Canada)
ar-AE,العربية (الإمارات),Arabic (United Arab Emirates)
ar-SA,العربية (السعودية),Arabic (Saudi Arabia)
ar-EG,العربية (مصر),Arabic (Egypt)
bn-BD,বাংলা (বাংলাদেশ),Bengali (Bangladesh)
cmn-Hans-CN,普通话 (中国大陆),Chinese, Mandarin (Simplified, China)
cmn-Hant-TW,國語 (台灣),Chinese, Mandarin (Traditional, Taiwan)
hi-IN,हिन्दी (भारत),Hindi (India)
ms-MY,Bahasa Melayu (Malaysia),Malay (Malaysia)
sw-KE,Swahili (Kenya),Swahili (Kenya)
pt-br,Português (Brasil),Portuguese (Brazil)
pt-pt,Português (Portugal),Portuguese (Portugal)
pl-PL,Polski (Polska),Polish (Poland)
ru-ru,Русский (Россия),Russian (Russia)